species,population.ID,taxon,Citation,Life.Stage,Sex.Ratio,SuperTaxa,LifeHistory,N,sex.determination,SDM.Type,SDM.Type.conservative,sex.det.source,Notes
Intellagama_lesueurii,CK11,lizards,"Pezaro, N., Thompson, M. B., & Doody, J. S. (2015). Seasonal sex ratios and the evolution of temperature-dependent sex determination in oviparous lizards. Evolutionary Ecology, 30(3), 551-565.",birth.sex.ratio,0.351351351,squamatara,S,222,TSD,TSD II,TSD II,Doody et al (2006) Evolutionary Ecology,NA
Kinixys_erosa,306,turtles,7273,adult.sex.ratio,0.563,crocoturtle,CTT,48,TSD,TSD Ia,NA,genus.or.family.in.TreeOfSex,NA
Kinixys_homeana,307,turtles,7273,adult.sex.ratio,0.515,crocoturtle,CTT,132,TSD,TSD Ia,NA,genus.or.family.in.TreeOfSex,NA
Kinosternon_baurii,2028,turtles,2028,adult.sex.ratio,0.333,crocoturtle,CTT,66,TSD,TSD II,TSD II,species.in.TreeOfSex,NA
Kinosternon_flavescens,2042f,turtles,2042,adult.sex.ratio,0.606,crocoturtle,CTT,33,TSD,TSD Ia,TSD Ia,species.in.TreeOfSex,NA
Kinosternon_flavescens,2042e,turtles,2042,adult.sex.ratio,0.421,crocoturtle,CTT,152,TSD,TSD Ia,TSD Ia,species.in.TreeOfSex,NA
Kinosternon_flavescens,2042d,turtles,2042,adult.sex.ratio,0.397,crocoturtle,CTT,58,TSD,TSD Ia,TSD Ia,species.in.TreeOfSex,NA
Kinosternon_flavescens,"2061d,c",turtles,2061,juvenile.sex.ratio,0.632,crocoturtle,CTT,38,TSD,TSD Ia,TSD Ia,species.in.TreeOfSex,NA
Kinosternon_flavescens,"2061d,c",turtles,2061,adult.sex.ratio,0.375,crocoturtle,CTT,200,TSD,TSD Ia,TSD Ia,species.in.TreeOfSex,NA
Kinosternon_leucostomum,308,turtles,503,adult.sex.ratio,0.601,crocoturtle,CTT,1425,TSD,TSD II,TSD II,species.in.TreeOfSex,NA
Kinosternon_leucostomum,308,turtles,503,birth.sex.ratio,0.59,crocoturtle,CTT,34,TSD,TSD II,TSD II,species.in.TreeOfSex,NA
Kinosternon_scorpioides,2071a,turtles,2071,adult.sex.ratio,0.667,crocoturtle,CTT,9,TSD,TSD II,TSD II,species.in.TreeOfSex,NA
Kinosternon_scorpioides,2068a,turtles,2068,adult.sex.ratio,0.438,crocoturtle,CTT,80,TSD,TSD II,TSD II,species.in.TreeOfSex,NA
